# solver	iter	time	stddev
semimcfraeke	0	0.052351	0.000000
semimcfraeke	1	0.054417	0.000000
semimcfraeke	2	0.051745	0.000000
semimcfraeke	3	0.042780	0.000000
semimcfraeke	4	0.044027	0.000000
semimcfraeke	5	0.056187	0.000000
semimcfraeke	6	0.045323	0.000000
semimcfraeke	7	0.045840	0.000000
semimcfraeke	8	0.040276	0.000000
semimcfraeke	9	0.046598	0.000000
semimcfraeke	10	0.040584	0.000000
semimcfraeke	11	0.042608	0.000000
semimcfraeke	12	0.053047	0.000000
semimcfraeke	13	0.047280	0.000000
semimcfraeke	14	0.043640	0.000000
semimcfraeke	15	0.044328	0.000000
semimcfraeke	16	0.045161	0.000000
semimcfraeke	17	0.040289	0.000000
semimcfraeke	18	0.044335	0.000000
semimcfraeke	19	0.040174	0.000000
semimcfraeke	20	0.044348	0.000000
semimcfraeke	21	0.041706	0.000000
semimcfraeke	22	0.040660	0.000000
semimcfraeke	23	0.037612	0.000000
semimcfraeke	24	0.039305	0.000000
semimcfraeke	25	0.040575	0.000000
semimcfraeke	26	0.042007	0.000000
semimcfraeke	27	0.036883	0.000000

