# solver	iter	.0.400000-congestion	stddev
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.000000	0.000000
semimcfraeke	3	0.000000	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000000	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000000	0.000000
semimcfraeke	9	0.000000	0.000000
semimcfraeke	10	0.000000	0.000000
semimcfraeke	11	0.000000	0.000000
semimcfraeke	12	0.000000	0.000000
semimcfraeke	13	0.000000	0.000000
semimcfraeke	14	0.000000	0.000000
semimcfraeke	15	0.000000	0.000000
semimcfraeke	16	0.000000	0.000000
semimcfraeke	17	0.000000	0.000000
semimcfraeke	18	0.000000	0.000000
semimcfraeke	19	0.000000	0.000000
semimcfraeke	20	0.000000	0.000000
semimcfraeke	21	0.000000	0.000000
semimcfraeke	22	0.000000	0.000000
semimcfraeke	23	0.000000	0.000000
semimcfraeke	24	0.000000	0.000000
semimcfraeke	25	0.000000	0.000000
semimcfraeke	26	0.000000	0.000000
semimcfraeke	27	0.000000	0.000000
semimcfraeke	28	0.000000	0.000000
semimcfraeke	29	0.000000	0.000000
semimcfraeke	30	0.000000	0.000000
semimcfraeke	31	0.000000	0.000000
semimcfraeke	32	0.000000	0.000000
semimcfraeke	33	0.000000	0.000000
semimcfraeke	34	0.000000	0.000000
semimcfraeke	35	0.000000	0.000000
semimcfraeke	36	0.000000	0.000000
semimcfraeke	37	0.000000	0.000000
semimcfraeke	38	0.000000	0.000000
semimcfraeke	39	0.000000	0.000000
semimcfraeke	40	0.000000	0.000000
semimcfraeke	41	0.000000	0.000000
semimcfraeke	42	0.000000	0.000000
semimcfraeke	43	0.000000	0.000000
semimcfraeke	44	0.000000	0.000000
semimcfraeke	45	0.000000	0.000000
semimcfraeke	46	0.000000	0.000000
semimcfraeke	47	0.000000	0.000000
semimcfraeke	48	0.000000	0.000000
semimcfraeke	49	0.000000	0.000000
semimcfraeke	50	0.000000	0.000000
semimcfraeke	51	0.000000	0.000000
semimcfraeke	52	0.000000	0.000000
semimcfraeke	53	0.000000	0.000000
semimcfraeke	54	0.000000	0.000000
semimcfraeke	55	0.000000	0.000000
semimcfraeke	56	0.000000	0.000000
semimcfraeke	57	0.000000	0.000000
semimcfraeke	58	0.000000	0.000000
semimcfraeke	59	0.000000	0.000000
semimcfraeke	60	0.000000	0.000000
semimcfraeke	61	0.000000	0.000000
semimcfraeke	62	0.000000	0.000000
semimcfraeke	63	0.000000	0.000000
semimcfraeke	64	0.000000	0.000000
semimcfraeke	65	0.000000	0.000000
semimcfraeke	66	0.000000	0.000000
semimcfraeke	67	0.000000	0.000000
semimcfraeke	68	0.000000	0.000000
semimcfraeke	69	0.000000	0.000000
semimcfraeke	70	0.000000	0.000000
semimcfraeke	71	0.000000	0.000000
semimcfraeke	72	0.000000	0.000000
semimcfraeke	73	0.000000	0.000000
semimcfraeke	74	0.000000	0.000000
semimcfraeke	75	0.000000	0.000000
semimcfraeke	76	0.000000	0.000000
semimcfraeke	77	0.000000	0.000000
semimcfraeke	78	0.000000	0.000000
semimcfraeke	79	0.000000	0.000000
semimcfraeke	80	0.000000	0.000000
semimcfraeke	81	0.000000	0.000000
semimcfraeke	82	0.000000	0.000000
semimcfraeke	83	0.000000	0.000000
semimcfraeke	84	0.000000	0.000000
semimcfraeke	85	0.000000	0.000000
semimcfraeke	86	0.000000	0.000000
semimcfraeke	87	0.000000	0.000000
semimcfraeke	88	0.000000	0.000000
semimcfraeke	89	0.000000	0.000000
semimcfraeke	90	0.000000	0.000000
semimcfraeke	91	0.000000	0.000000
