# solver	iter	total-throughput	stddev
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	1.000000	0.000000
semimcfraeke	3	1.000000	0.000000
semimcfraeke	4	1.000000	0.000000
semimcfraeke	5	1.000000	0.000000
semimcfraeke	6	1.000000	0.000000
semimcfraeke	7	1.000000	0.000000
semimcfraeke	8	1.000000	0.000000
semimcfraeke	9	1.000000	0.000000
semimcfraeke	10	1.000000	0.000000
semimcfraeke	11	1.000000	0.000000
semimcfraeke	12	1.000000	0.000000
semimcfraeke	13	1.000000	0.000000
semimcfraeke	14	1.000000	0.000000
semimcfraeke	15	1.000000	0.000000
semimcfraeke	16	1.000000	0.000000
semimcfraeke	17	1.000000	0.000000
semimcfraeke	18	1.000000	0.000000
semimcfraeke	19	1.000000	0.000000
semimcfraeke	20	1.000000	0.000000
semimcfraeke	21	1.000000	0.000000
semimcfraeke	22	1.000000	0.000000
semimcfraeke	23	1.000000	0.000000
semimcfraeke	24	1.000000	0.000000
semimcfraeke	25	1.000000	0.000000
semimcfraeke	26	1.000000	0.000000
semimcfraeke	27	1.000000	0.000000
semimcfraeke	28	1.000000	0.000000
semimcfraeke	29	1.000000	0.000000
semimcfraeke	30	1.000000	0.000000
semimcfraeke	31	1.000000	0.000000
semimcfraeke	32	1.000000	0.000000
semimcfraeke	33	1.000000	0.000000
semimcfraeke	34	1.000000	0.000000
semimcfraeke	35	1.000000	0.000000
semimcfraeke	36	1.000000	0.000000
semimcfraeke	37	1.000000	0.000000
semimcfraeke	38	1.000000	0.000000
semimcfraeke	39	1.000000	0.000000
semimcfraeke	40	1.000000	0.000000
semimcfraeke	41	1.000000	0.000000
semimcfraeke	42	1.000000	0.000000
semimcfraeke	43	1.000000	0.000000
semimcfraeke	44	1.000000	0.000000
semimcfraeke	45	1.000000	0.000000
semimcfraeke	46	1.000000	0.000000
semimcfraeke	47	1.000000	0.000000
semimcfraeke	48	1.000000	0.000000
semimcfraeke	49	1.000000	0.000000
semimcfraeke	50	1.000000	0.000000
semimcfraeke	51	1.000000	0.000000
semimcfraeke	52	1.000000	0.000000
semimcfraeke	53	1.000000	0.000000
semimcfraeke	54	1.000000	0.000000
semimcfraeke	55	1.000000	0.000000
semimcfraeke	56	1.000000	0.000000
semimcfraeke	57	1.000000	0.000000
semimcfraeke	58	1.000000	0.000000
semimcfraeke	59	1.000000	0.000000
semimcfraeke	60	1.000000	0.000000
semimcfraeke	61	1.000000	0.000000
semimcfraeke	62	1.000000	0.000000
semimcfraeke	63	1.000000	0.000000
semimcfraeke	64	1.000000	0.000000
semimcfraeke	65	1.000000	0.000000
semimcfraeke	66	1.000000	0.000000
semimcfraeke	67	1.000000	0.000000
semimcfraeke	68	1.000000	0.000000
semimcfraeke	69	1.000000	0.000000
semimcfraeke	70	1.000000	0.000000
semimcfraeke	71	1.000000	0.000000
semimcfraeke	72	1.000000	0.000000
semimcfraeke	73	1.000000	0.000000
semimcfraeke	74	1.000000	0.000000
semimcfraeke	75	1.000000	0.000000
semimcfraeke	76	1.000000	0.000000
semimcfraeke	77	1.000000	0.000000
semimcfraeke	78	1.000000	0.000000
semimcfraeke	79	1.000000	0.000000
semimcfraeke	80	1.000000	0.000000
semimcfraeke	81	1.000000	0.000000
semimcfraeke	82	1.000000	0.000000
semimcfraeke	83	1.000000	0.000000
semimcfraeke	84	1.000000	0.000000
semimcfraeke	85	1.000000	0.000000
semimcfraeke	86	1.000000	0.000000
semimcfraeke	87	1.000000	0.000000
semimcfraeke	88	1.000000	0.000000
semimcfraeke	89	1.000000	0.000000
semimcfraeke	90	1.000000	0.000000
semimcfraeke	91	1.000000	0.000000
semimcfraeke	92	1.000000	0.000000
semimcfraeke	93	1.000000	0.000000
semimcfraeke	94	1.000000	0.000000
semimcfraeke	95	1.000000	0.000000
semimcfraeke	96	1.000000	0.000000
semimcfraeke	97	1.000000	0.000000
semimcfraeke	98	1.000000	0.000000
semimcfraeke	99	1.000000	0.000000
semimcfraeke	100	1.000000	0.000000
semimcfraeke	101	1.000000	0.000000
semimcfraeke	102	1.000000	0.000000
semimcfraeke	103	1.000000	0.000000
semimcfraeke	104	1.000000	0.000000
semimcfraeke	105	1.000000	0.000000
semimcfraeke	106	1.000000	0.000000
semimcfraeke	107	1.000000	0.000000
semimcfraeke	108	1.000000	0.000000
semimcfraeke	109	1.000000	0.000000
semimcfraeke	110	1.000000	0.000000
semimcfraeke	111	1.000000	0.000000
semimcfraeke	112	1.000000	0.000000
semimcfraeke	113	1.000000	0.000000
semimcfraeke	114	1.000000	0.000000
semimcfraeke	115	1.000000	0.000000
semimcfraeke	116	1.000000	0.000000
semimcfraeke	117	1.000000	0.000000
semimcfraeke	118	1.000000	0.000000
semimcfraeke	119	1.000000	0.000000
semimcfraeke	120	1.000000	0.000000
semimcfraeke	121	1.000000	0.000000
semimcfraeke	122	1.000000	0.000000
semimcfraeke	123	1.000000	0.000000
semimcfraeke	124	1.000000	0.000000
semimcfraeke	125	1.000000	0.000000
semimcfraeke	126	1.000000	0.000000
semimcfraeke	127	1.000000	0.000000
semimcfraeke	128	1.000000	0.000000
semimcfraeke	129	1.000000	0.000000
semimcfraeke	130	1.000000	0.000000
semimcfraeke	131	1.000000	0.000000
semimcfraeke	132	1.000000	0.000000
semimcfraeke	133	1.000000	0.000000
semimcfraeke	134	1.000000	0.000000
semimcfraeke	135	1.000000	0.000000
semimcfraeke	136	1.000000	0.000000
semimcfraeke	137	1.000000	0.000000
semimcfraeke	138	1.000000	0.000000
semimcfraeke	139	1.000000	0.000000
semimcfraeke	140	1.000000	0.000000
semimcfraeke	141	1.000000	0.000000
semimcfraeke	142	1.000000	0.000000
semimcfraeke	143	1.000000	0.000000
semimcfraeke	144	1.000000	0.000000
semimcfraeke	145	1.000000	0.000000
semimcfraeke	146	1.000000	0.000000
semimcfraeke	147	1.000000	0.000000
semimcfraeke	148	1.000000	0.000000
semimcfraeke	149	1.000000	0.000000
semimcfraeke	150	1.000000	0.000000
semimcfraeke	151	1.000000	0.000000
semimcfraeke	152	1.000000	0.000000
semimcfraeke	153	1.000000	0.000000
semimcfraeke	154	1.000000	0.000000
semimcfraeke	155	1.000000	0.000000
semimcfraeke	156	1.000000	0.000000
semimcfraeke	157	1.000000	0.000000
semimcfraeke	158	1.000000	0.000000
semimcfraeke	159	1.000000	0.000000
semimcfraeke	160	1.000000	0.000000
semimcfraeke	161	1.000000	0.000000
semimcfraeke	162	1.000000	0.000000
semimcfraeke	163	1.000000	0.000000
semimcfraeke	164	1.000000	0.000000
semimcfraeke	165	1.000000	0.000000
semimcfraeke	166	1.000000	0.000000
semimcfraeke	167	1.000000	0.000000
semimcfraeke	168	1.000000	0.000000
semimcfraeke	169	1.000000	0.000000
semimcfraeke	170	1.000000	0.000000
semimcfraeke	171	1.000000	0.000000
semimcfraeke	172	1.000000	0.000000
semimcfraeke	173	1.000000	0.000000
semimcfraeke	174	1.000000	0.000000
semimcfraeke	175	1.000000	0.000000
semimcfraeke	176	1.000000	0.000000
semimcfraeke	177	1.000000	0.000000
semimcfraeke	178	1.000000	0.000000
semimcfraeke	179	1.000000	0.000000
semimcfraeke	180	1.000000	0.000000
semimcfraeke	181	1.000000	0.000000
semimcfraeke	182	1.000000	0.000000
semimcfraeke	183	1.000000	0.000000
semimcfraeke	184	1.000000	0.000000
semimcfraeke	185	1.000000	0.000000
semimcfraeke	186	1.000000	0.000000
semimcfraeke	187	1.000000	0.000000
semimcfraeke	188	1.000000	0.000000
semimcfraeke	189	1.000000	0.000000
semimcfraeke	190	1.000000	0.000000
semimcfraeke	191	1.000000	0.000000
semimcfraeke	192	1.000000	0.000000
semimcfraeke	193	1.000000	0.000000
semimcfraeke	194	1.000000	0.000000
semimcfraeke	195	1.000000	0.000000
semimcfraeke	196	1.000000	0.000000
semimcfraeke	197	1.000000	0.000000
semimcfraeke	198	1.000000	0.000000
semimcfraeke	199	1.000000	0.000000

