# solver	iter	.0.800000-exp-congestion	stddev
ecmp	0	0.246297	0.000000
ecmp	1	0.235519	0.000000
ecmp	2	0.248265	0.000000
ecmp	3	0.260249	0.000000
ecmp	4	0.252808	0.000000
ecmp	5	0.258109	0.000000
ecmp	6	0.266248	0.000000
ecmp	7	0.263785	0.000000
ecmp	8	0.262322	0.000000
ecmp	9	0.259293	0.000000
ecmp	10	0.241582	0.000000
ecmp	11	0.260171	0.000000
ecmp	12	0.260619	0.000000
ecmp	13	0.267586	0.000000
ecmp	14	0.266847	0.000000
ecmp	15	0.266241	0.000000
ecmp	16	0.273293	0.000000
ecmp	17	0.271527	0.000000
ecmp	18	0.271863	0.000000
ecmp	19	0.241191	0.000000
ecmp	20	0.262304	0.000000
ecmp	21	0.265748	0.000000
ecmp	22	0.268509	0.000000
ecmp	23	0.259688	0.000000
ecmp	24	0.266592	0.000000
ecmp	25	0.269561	0.000000
ecmp	26	0.271278	0.000000
ecmp	27	0.273481	0.000000
ecmp	28	0.266105	0.000000
ecmp	29	0.263125	0.000000
ecmp	30	0.284800	0.000000
ecmp	31	0.270692	0.000000
ecmp	32	0.274574	0.000000
ecmp	33	0.274020	0.000000
ecmp	34	0.273331	0.000000
ecmp	35	0.258533	0.000000

