# solver	iter	.0.700000-congestion	stddev
ecmp	0	0.183374	0.000000
ecmp	1	0.175481	0.000000
ecmp	2	0.185383	0.000000
ecmp	3	0.177041	0.000000
ecmp	4	0.177370	0.000000
ecmp	5	0.179035	0.000000
ecmp	6	0.182324	0.000000
ecmp	7	0.186199	0.000000
ecmp	8	0.172145	0.000000
ecmp	9	0.156322	0.000000
ecmp	10	0.162789	0.000000
ecmp	11	0.174198	0.000000
ecmp	12	0.175466	0.000000
ecmp	13	0.185656	0.000000
ecmp	14	0.166069	0.000000
ecmp	15	0.170908	0.000000
ecmp	16	0.186132	0.000000
ecmp	17	0.200024	0.000000
ecmp	18	0.191149	0.000000
ecmp	19	0.174459	0.000000
ecmp	20	0.179631	0.000000
ecmp	21	0.176540	0.000000
ecmp	22	0.187388	0.000000
ecmp	23	0.185264	0.000000
ecmp	24	0.175182	0.000000
ecmp	25	0.177528	0.000000
ecmp	26	0.180400	0.000000
ecmp	27	0.191357	0.000000
ecmp	28	0.192367	0.000000
ecmp	29	0.182989	0.000000
ecmp	30	0.172614	0.000000
ecmp	31	0.167460	0.000000
ecmp	32	0.188209	0.000000
ecmp	33	0.185952	0.000000
ecmp	34	0.197615	0.000000
ecmp	35	0.180543	0.000000

