# solver	iter	.0.500000-exp-congestion	stddev
ecmp	0	0.031514	0.000000
ecmp	1	0.033428	0.000000
ecmp	2	0.033136	0.000000
ecmp	3	0.031236	0.000000
ecmp	4	0.029453	0.000000
ecmp	5	0.029934	0.000000
ecmp	6	0.032309	0.000000
ecmp	7	0.030779	0.000000
ecmp	8	0.031064	0.000000
ecmp	9	0.028477	0.000000
ecmp	10	0.028810	0.000000
ecmp	11	0.028022	0.000000
ecmp	12	0.028158	0.000000
ecmp	13	0.030615	0.000000
ecmp	14	0.032168	0.000000
ecmp	15	0.029893	0.000000
ecmp	16	0.029786	0.000000
ecmp	17	0.035747	0.000000
ecmp	18	0.033938	0.000000
ecmp	19	0.031456	0.000000
ecmp	20	0.035782	0.000000
ecmp	21	0.033314	0.000000
ecmp	22	0.032202	0.000000
ecmp	23	0.030266	0.000000
ecmp	24	0.032171	0.000000
ecmp	25	0.032182	0.000000
ecmp	26	0.031667	0.000000
ecmp	27	0.034172	0.000000
ecmp	28	0.033631	0.000000
ecmp	29	0.030001	0.000000
ecmp	30	0.035240	0.000000
ecmp	31	0.037293	0.000000
ecmp	32	0.036743	0.000000
ecmp	33	0.041420	0.000000
ecmp	34	0.038591	0.000000
ecmp	35	0.036247	0.000000

