# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.079730	0.000000
ecmp	1	0.078312	0.000000
ecmp	2	0.079430	0.000000
ecmp	3	0.083430	0.000000
ecmp	4	0.081561	0.000000
ecmp	5	0.082742	0.000000
ecmp	6	0.071307	0.000000
ecmp	7	0.074911	0.000000
ecmp	8	0.070578	0.000000
ecmp	9	0.075806	0.000000
ecmp	10	0.084084	0.000000
ecmp	11	0.078527	0.000000
ecmp	12	0.077912	0.000000
ecmp	13	0.079141	0.000000
ecmp	14	0.086193	0.000000
ecmp	15	0.087300	0.000000
ecmp	16	0.080765	0.000000
ecmp	17	0.082495	0.000000
ecmp	18	0.083678	0.000000
ecmp	19	0.088493	0.000000
ecmp	20	0.083147	0.000000
ecmp	21	0.082214	0.000000
ecmp	22	0.085083	0.000000
ecmp	23	0.082465	0.000000
ecmp	24	0.080726	0.000000
ecmp	25	0.085212	0.000000
ecmp	26	0.077265	0.000000
ecmp	27	0.078199	0.000000
ecmp	28	0.087811	0.000000
ecmp	29	0.079857	0.000000
ecmp	30	0.080368	0.000000
ecmp	31	0.085268	0.000000
ecmp	32	0.093053	0.000000
ecmp	33	0.097829	0.000000
ecmp	34	0.088276	0.000000
ecmp	35	0.085316	0.000000

