# solver	iter	.0.300000-exp-congestion	stddev
ecmp	0	0.000276	0.000000
ecmp	1	0.000282	0.000000
ecmp	2	0.000284	0.000000
ecmp	3	0.000267	0.000000
ecmp	4	0.000261	0.000000
ecmp	5	0.000274	0.000000
ecmp	6	0.000283	0.000000
ecmp	7	0.000280	0.000000
ecmp	8	0.000265	0.000000
ecmp	9	0.000257	0.000000
ecmp	10	0.000252	0.000000
ecmp	11	0.000265	0.000000
ecmp	12	0.000276	0.000000
ecmp	13	0.000277	0.000000
ecmp	14	0.000267	0.000000
ecmp	15	0.000258	0.000000
ecmp	16	0.000285	0.000000
ecmp	17	0.000283	0.000000
ecmp	18	0.000292	0.000000
ecmp	19	0.000265	0.000000
ecmp	20	0.000275	0.000000
ecmp	21	0.000288	0.000000
ecmp	22	0.000304	0.000000
ecmp	23	0.000280	0.000000
ecmp	24	0.000278	0.000000
ecmp	25	0.000269	0.000000
ecmp	26	0.000282	0.000000
ecmp	27	0.000291	0.000000
ecmp	28	0.000300	0.000000
ecmp	29	0.000280	0.000000
ecmp	30	0.000271	0.000000
ecmp	31	0.000280	0.000000
ecmp	32	0.000294	0.000000
ecmp	33	0.000299	0.000000
ecmp	34	0.000287	0.000000
ecmp	35	0.000273	0.000000

