# solver	iter	.0.900000-exp-congestion	stddev
ecmp	0	0.332941	0.000000
ecmp	1	0.315221	0.000000
ecmp	2	0.340568	0.000000
ecmp	3	0.324269	0.000000
ecmp	4	0.310844	0.000000
ecmp	5	0.322602	0.000000
ecmp	6	0.332739	0.000000
ecmp	7	0.332179	0.000000
ecmp	8	0.330164	0.000000
ecmp	9	0.330565	0.000000
ecmp	10	0.304892	0.000000
ecmp	11	0.309498	0.000000
ecmp	12	0.325252	0.000000
ecmp	13	0.334970	0.000000
ecmp	14	0.342743	0.000000
ecmp	15	0.324245	0.000000
ecmp	16	0.330544	0.000000
ecmp	17	0.343745	0.000000
ecmp	18	0.334686	0.000000
ecmp	19	0.312277	0.000000
ecmp	20	0.338946	0.000000
ecmp	21	0.340061	0.000000
ecmp	22	0.338703	0.000000
ecmp	23	0.328313	0.000000
ecmp	24	0.315730	0.000000
ecmp	25	0.330061	0.000000
ecmp	26	0.352735	0.000000
ecmp	27	0.332829	0.000000
ecmp	28	0.325204	0.000000
ecmp	29	0.334820	0.000000
ecmp	30	0.366168	0.000000
ecmp	31	0.348640	0.000000
ecmp	32	0.373267	0.000000
ecmp	33	0.355316	0.000000
ecmp	34	0.349550	0.000000
ecmp	35	0.329691	0.000000

