# solver	iter	.0.100000-congestion	stddev
ecmp	0	0.000101	0.000000
ecmp	1	0.000092	0.000000
ecmp	2	0.000091	0.000000
ecmp	3	0.000089	0.000000
ecmp	4	0.000094	0.000000
ecmp	5	0.000099	0.000000
ecmp	6	0.000097	0.000000
ecmp	7	0.000101	0.000000
ecmp	8	0.000085	0.000000
ecmp	9	0.000083	0.000000
ecmp	10	0.000082	0.000000
ecmp	11	0.000087	0.000000
ecmp	12	0.000091	0.000000
ecmp	13	0.000085	0.000000
ecmp	14	0.000100	0.000000
ecmp	15	0.000085	0.000000
ecmp	16	0.000092	0.000000
ecmp	17	0.000104	0.000000
ecmp	18	0.000097	0.000000
ecmp	19	0.000088	0.000000
ecmp	20	0.000102	0.000000
ecmp	21	0.000094	0.000000
ecmp	22	0.000080	0.000000
ecmp	23	0.000079	0.000000
ecmp	24	0.000086	0.000000
ecmp	25	0.000094	0.000000
ecmp	26	0.000102	0.000000
ecmp	27	0.000086	0.000000
ecmp	28	0.000092	0.000000
ecmp	29	0.000098	0.000000
ecmp	30	0.000096	0.000000
ecmp	31	0.000106	0.000000
ecmp	32	0.000103	0.000000
ecmp	33	0.000098	0.000000
ecmp	34	0.000097	0.000000
ecmp	35	0.000095	0.000000

